Tournament, Gender, Date,Round,Player 1,Player 2,Score,Winner
CIB Egyptian Open 2024,Men's,31 Aug 2024 • 16:45,Round 2,Raphael Kandra,Paul Coll,"0-3, 4-11, 5-11, 5-11, ---, ---",Paul Coll
CIB Egyptian Open 2024,Men's,-,Round 1,Ali Farag,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 14:15,Round 1,Curtis Malik,Greg Lobban,"3-0, 11-9, 12-10, 11-8, ---, ---",Curtis Malik
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 14:15,Round 1,Nicolas Mueller,Moustafa Elsirty,"3-2, 8-11, 11-4, 11-8, 8-11, 11-8",Nicolas Mueller
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 12:45,Round 1,Omar El Torkey,Abdulla Al-Tamimi,"0-3, 9-11, 6-11, 3-11, ---, ---",Abdulla Al-Tamimi
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 12:45,Round 1,Dimitri Steinmann,David Baillargeon,"3-0, 11-6, 11-7, 11-3, ---, ---",Dimitri Steinmann
CIB Egyptian Open 2024,Men's,-,Round 1,BYE,Aly Abou Eleinen,"---, ---, ---, ---, ---, ---",Aly Abou Eleinen
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 14:15,Round 1,Timothy Brownell,Karim El Hammamy,"2-3, 11-7, 11-2, 7-11, 11-13, 3-11",Karim El Hammamy
CIB Egyptian Open 2024,Men's,-,Round 1,BYE,Mazen Hesham,"---, ---, ---, ---, ---, ---",Mazen Hesham
CIB Egyptian Open 2024,Men's,-,Round 1,Tarek Momen,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 12:45,Round 1,Balazs Farkas,Leonel Cardenas,"2-3, 11-7, 11-5, 10-12, 5-11, 4-11",Leonel Cardenas
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 14:15,Round 1,Fares Dessouky,Yassin Elshafei,"3-0, 11-9, 11-5, 11-4, ---, ---",Fares Dessouky
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 12:45,Round 1,Juan Vargas,Leandro Romiglio,"3-2, 7-11, 12-10, 8-11, 11-1, 13-11",Juan Vargas
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 16:45,Round 1,Sebastien Bonmalais,Rory Stewart,"3-0, 11-3, 11-5, 11-2, ---, ---",Sebastien Bonmalais
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 16:45,Round 1,George Parker,Gregoire Marche,"2-3, 11-9, 9-11, 10-12, 11-7, 4-11",Gregoire Marche
CIB Egyptian Open 2024,Men's,-,Round 1,Miguel Rodriguez,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Men's,-,Round 1,BYE,Diego Elias,"---, ---, ---, ---, ---, ---",Diego Elias
CIB Egyptian Open 2024,Men's,-,Round 1,Mostafa Asal,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Men's,-,Round 1,BYE,Joel Makin,"---, ---, ---, ---, ---, ---",Joel Makin
CIB Egyptian Open 2024,Men's,-,Round 1,Youssef Ibrahim,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Men's,-,Round 1,BYE,Youssef Soliman,"---, ---, ---, ---, ---, ---",Youssef Soliman
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 18:15,Round 1,Mohamed ElSherbini,Kareem El Torkey,"3-0, 11-7, 11-6, 12-10, ---, ---",Mohamed ElSherbini
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 16:45,Round 1,Bernat Jaume,Ramit Tandon,"0-3, 3-11, 2-11, 9-11, ---, ---",Ramit Tandon
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 18:15,Round 1,Nathan Lake,Mohamed Abouelghar,"3-1, 13-11, 9-11, 11-6, 11-4, ---",Nathan Lake
CIB Egyptian Open 2024,Men's,-,Round 1,BYE,Mohamed Elshorbagy,"---, ---, ---, ---, ---, ---",Mohamed Elshorbagy
CIB Egyptian Open 2024,Men's,-,Round 1,Karim Gawad,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Men's,-,Round 1,BYE,Marwan Elshorbagy,"---, ---, ---, ---, ---, ---",Marwan Elshorbagy
CIB Egyptian Open 2024,Men's,-,Round 1,Victor Crouin,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 18:15,Round 1,Mohamad Zakaria,Nick Wall,"3-0, 11-6, 11-9, 11-6, ---, ---",Mohamad Zakaria
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 18:15,Round 1,Iker Pajares,Omar Mosaad,"3-0, 12-10, 11-4, 11-5, ---, ---",Iker Pajares
CIB Egyptian Open 2024,Men's,-,Round 1,BYE,Eain Yow Ng,"---, ---, ---, ---, ---, ---",Eain Yow Ng
CIB Egyptian Open 2024,Men's,30 Aug 2024 • 16:45,Round 1,Raphael Kandra,Yahya Elnawasany,"3-0, 11-6, 11-7, 11-7, ---, ---",Raphael Kandra
CIB Egyptian Open 2024,Men's,-,Round 1,BYE,Paul Coll,"---, ---, ---, ---, ---, ---",Paul Coll
CIB Egyptian Open 2024,Women's,06 Sep 2024 • 19:00,Final,TBD,TBD,"---, ---, ---, ---, ---, ---",TBD
CIB Egyptian Open 2024,Women's,05 Sep 2024 • 19:00,Semi final,TBD,TBD,"---, ---, ---, ---, ---, ---",TBD
CIB Egyptian Open 2024,Women's,05 Sep 2024 • 20:30,Semi final,TBD,TBD,"---, ---, ---, ---, ---, ---",TBD
CIB Egyptian Open 2024,Women's,03 Sep 2024 • 20:30,Quarter final,Nour ElSherbini,Tinne Gilis,"---, ---, ---, ---, ---, ---",Tinne Gilis
CIB Egyptian Open 2024,Women's,03 Sep 2024 • 19:00,Quarter final,Georgina Kennedy,Hania El Hammamy,"---, ---, ---, ---, ---, ---",Hania El Hammamy
CIB Egyptian Open 2024,Women's,04 Sep 2024 • 20:30,Quarter final,Sana Ibrahim,Nada Abbas,"---, ---, ---, ---, ---, ---",Nada Abbas
CIB Egyptian Open 2024,Women's,04 Sep 2024 • 19:00,Quarter final,Rowan Elaraby,Nouran Gohar,"---, ---, ---, ---, ---, ---",Nouran Gohar
CIB Egyptian Open 2024,Women's,01 Sep 2024 • 20:30,Round 3,Nour ElSherbini,Amina Orfi,"3-2, 6-11, 4-11, 11-2, 11-6, 11-9",Nour ElSherbini
CIB Egyptian Open 2024,Women's,01 Sep 2024 • 14:00,Round 3,Fayrouz Aboelkheir,Tinne Gilis,"0-3, 8-11, 11-13, 14-16, ---, ---",Tinne Gilis
CIB Egyptian Open 2024,Women's,01 Sep 2024 • 12:30,Round 3,Georgina Kennedy,Lucy Turmel,"3-1, 16-14, 6-11, 13-11, 11-4, ---",Georgina Kennedy
CIB Egyptian Open 2024,Women's,01 Sep 2024 • 19:00,Round 3,Jasmine Hutton,Hania El Hammamy,"0-3, 5-11, 7-11, 3-11, ---, ---",Hania El Hammamy
CIB Egyptian Open 2024,Women's,02 Sep 2024 • 20:30,Round 3,Sana Ibrahim,Nour Heikal,"3-0, 11-9, 11-1, 11-6, ---, ---",Sana Ibrahim
CIB Egyptian Open 2024,Women's,02 Sep 2024 • 12:30,Round 3,Nada Abbas,Sivasangari Subramaniam,"3-2, 5-11, 9-11, 12-10, 11-9, 11-7",Nada Abbas
CIB Egyptian Open 2024,Women's,02 Sep 2024 • 14:00,Round 3,Rowan Elaraby,Georgia Adderley,"3-1, 11-9, 9-11, 11-6, 11-6, ---",Rowan Elaraby
CIB Egyptian Open 2024,Women's,02 Sep 2024 • 19:00,Round 3,Amanda Sobhy,Nouran Gohar,"0-3, 6-11, 5-11, 3-11, ---, ---",Nouran Gohar
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 13:30,Round 2,Nour ElSherbini,Sabrina Sobhy,"3-0, 11-8, 11-4, 14-12, ---, ---",Nour ElSherbini
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 16:00,Round 2,Marina Stefanoni,Amina Orfi,"0-3, 5-11, 2-11, 7-11, ---, ---",Amina Orfi
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 12:00,Round 2,Fayrouz Aboelkheir,Mariam Metwally,"3-1, 15-13, 7-11, 11-2, 11-7, ---",Fayrouz Aboelkheir
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 13:30,Round 2,Menna Hamed,Tinne Gilis,"0-3, 3-11, 8-11, 5-11, ---, ---",Tinne Gilis
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 12:00,Round 2,Georgina Kennedy,Melissa Alves,"---, ---, ---, ---, ---, ---",Georgina Kennedy
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 12:00,Round 2,Nadine Shahin,Lucy Turmel,"2-3, 13-15, 11-9, 11-9, 1-11, 4-11",Lucy Turmel
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 12:00,Round 2,Jasmine Hutton,Zeina Mickawy,"3-0, 11-2, 11-9, 11-5, ---, ---",Jasmine Hutton
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 13:30,Round 2,Farida Mohamed,Hania El Hammamy,"0-3, 7-11, 3-11, 10-12, ---, ---",Hania El Hammamy
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 13:30,Round 2,Nele Gilis-Coll,Sana Ibrahim,"1-3, 11-8, 6-11, 8-11, 12-14, ---",Sana Ibrahim
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 16:00,Round 2,Malak Khafagy,Nour Heikal,"2-3, 15-13, 12-10, 7-11, 4-11, 5-11",Nour Heikal
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 16:00,Round 2,Sarah-Jane Perry,Nada Abbas,"1-3, 3-11, 12-10, 9-11, 5-11, ---",Nada Abbas
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 16:00,Round 2,Sivasangari Subramaniam,Joelle King,"3-1, 9-11, 11-6, 11-6, 12-10, ---",Sivasangari Subramaniam
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 17:30,Round 2,Rowan Elaraby,Salma Eltayeb,"3-1, 11-1, 6-11, 11-6, 11-6, ---",Rowan Elaraby
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 17:30,Round 2,Hana Ramadan,Georgia Adderley,"2-3, 11-5, 11-6, 7-11, 4-11, 5-11",Georgia Adderley
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 17:30,Round 2,Amanda Sobhy,Rachel Arnold,"3-1, 11-3, 5-11, 11-5, 11-3, ---",Amanda Sobhy
CIB Egyptian Open 2024,Women's,31 Aug 2024 • 17:30,Round 2,Barb Sameh,Nouran Gohar,"0-3, 4-11, 6-11, 2-11, ---, ---",Nouran Gohar
CIB Egyptian Open 2024,Women's,-,Round 1,Nour ElSherbini,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Women's,-,Round 1,BYE,Sabrina Sobhy,"---, ---, ---, ---, ---, ---",Sabrina Sobhy
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 16:00,Round 1,Hana Moataz,Marina Stefanoni,"0-3, 5-11, 16-18, 9-11, ---, ---",Marina Stefanoni
CIB Egyptian Open 2024,Women's,-,Round 1,BYE,Amina Orfi,"---, ---, ---, ---, ---, ---",Amina Orfi
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 00:00,Round 1,Fayrouz Aboelkheir,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 16:00,Round 1,Rana Ismail,Mariam Metwally,"0-3, 9-11, 4-11, 11-13, ---, ---",Mariam Metwally
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 13:30,Round 1,Nour Aboulmakarim,Menna Hamed,"2-3, 12-10, 9-11, 11-9, 6-11, 5-11",Menna Hamed
CIB Egyptian Open 2024,Women's,-,Round 1,BYE,Tinne Gilis,"---, ---, ---, ---, ---, ---",Tinne Gilis
CIB Egyptian Open 2024,Women's,-,Round 1,Georgina Kennedy,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 12:00,Round 1,Ka Yi Lee,Melissa Alves,"1-3, 11-6, 10-12, 5-11, 5-11, ---",Melissa Alves
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 12:00,Round 1,Nadine Shahin,Nicole Bunyan,"3-2, 15-13, 3-11, 5-11, 11-9, 11-6",Nadine Shahin
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 13:30,Round 1,Kenzy Ayman,Lucy Turmel,"1-3, 9-11, 7-11, 12-10, 3-11, ---",Lucy Turmel
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 12:00,Round 1,Jasmine Hutton,Habiba Hani,"3-0, 11-7, 11-7, 11-2, ---, ---",Jasmine Hutton
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 12:00,Round 1,Hannah Craig,Zeina Mickawy,"0-3, 7-11, 9-11, 9-11, ---, ---",Zeina Mickawy
CIB Egyptian Open 2024,Women's,-,Round 1,Farida Mohamed,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Women's,-,Round 1,BYE,Hania El Hammamy,"---, ---, ---, ---, ---, ---",Hania El Hammamy
CIB Egyptian Open 2024,Women's,-,Round 1,Nele Gilis-Coll,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 13:30,Round 1,Marie Stephan,Sana Ibrahim,"0-3, 9-11, 7-11, 9-11, ---, ---",Sana Ibrahim
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 13:30,Round 1,Malak Khafagy,Nour Megahed,"3-0, 11-6, 11-5, 11-9, ---, ---",Malak Khafagy
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 16:00,Round 1,Nour Heikal,Lucy Beecroft,"3-1, 11-4, 11-7, 9-11, 11-6, ---",Nour Heikal
CIB Egyptian Open 2024,Women's,-,Round 1,Sarah-Jane Perry,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Women's,-,Round 1,BYE,Nada Abbas,"---, ---, ---, ---, ---, ---",Nada Abbas
CIB Egyptian Open 2024,Women's,-,Round 1,Sivasangari Subramaniam,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Women's,-,Round 1,BYE,Joelle King,"---, ---, ---, ---, ---, ---",Joelle King
CIB Egyptian Open 2024,Women's,-,Round 1,Rowan Elaraby,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 17:30,Round 1,Alicia Mead,Salma Eltayeb,"0-3, 4-11, 2-11, 8-11, ---, ---",Salma Eltayeb
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 16:00,Round 1,Hana Ramadan,Nardine Garas,"3-0, 11-8, 11-5, 11-5, ---, ---",Hana Ramadan
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 17:30,Round 1,Tsz-Wing Tong,Georgia Adderley,"0-3, 6-11, 4-11, 4-11, ---, ---",Georgia Adderley
CIB Egyptian Open 2024,Women's,-,Round 1,Amanda Sobhy,BYE,"---, ---, ---, ---, ---, ---",BYE
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 17:30,Round 1,Grace Gear,Rachel Arnold,"2-3, 11-6, 5-11, 12-10, 7-11, 8-11",Rachel Arnold
CIB Egyptian Open 2024,Women's,30 Aug 2024 • 17:30,Round 1,Tomato Ho,Barb Sameh,"1-3, 11-13, 11-1, 13-15, 9-11, ---",Barb Sameh
CIB Egyptian Open 2024,Women's,-,Round 1,BYE,Nouran Gohar,"---, ---, ---, ---, ---, ---",Nouran Gohar
Nash Cup 2024,Men's,21 Sep 2024 • 19:15,Final,Mohamad Zakaria,Curtis Malik,"3-2, 9-11, 7-11, 11-5, 11-9, 11-1",Mohamad Zakaria
Nash Cup 2024,Men's,20 Sep 2024 • 18:00,Semi final,Mohamad Zakaria,Sanjay Jeeva,"3-0, 11-7, 11-5, 11-5, ---, ---",Mohamad Zakaria
Nash Cup 2024,Men's,20 Sep 2024 • 20:00,Semi final,Henry Leung,Curtis Malik,"0-3, 3-11, 5-11, 5-11, ---, ---",Curtis Malik
Nash Cup 2024,Men's,19 Sep 2024 • 17:00,Quarter final,Yahya Elnawasany,Mohamad Zakaria,"0-3, 8-11, 7-11, 8-11, ---, ---",Mohamad Zakaria
Nash Cup 2024,Men's,19 Sep 2024 • 18:00,Quarter final,Sanjay Jeeva,David Baillargeon,"3-2, 6-11, 11-9, 11-9, 6-11, 11-4",Sanjay Jeeva
Nash Cup 2024,Men's,19 Sep 2024 • 19:00,Quarter final,Henry Leung,Joseph White,"3-0, 11-2, 11-5, 11-8, ---, ---",Henry Leung
Nash Cup 2024,Men's,19 Sep 2024 • 21:00,Quarter final,Cesar Salazar,Curtis Malik,"0-3, 6-11, 7-11, 5-11, ---, ---",Curtis Malik
Nash Cup 2024,Men's,18 Sep 2024 • 15:00,Round 2,Yahya Elnawasany,Tom Walsh,"3-1, 11-9, 11-8, 10-12, 11-6, ---",Yahya Elnawasany
Nash Cup 2024,Men's,18 Sep 2024 • 15:45,Round 2,Jeremias Azaña,Mohamad Zakaria,"1-3, 11-9, 9-11, 2-11, 8-11, ---",Mohamad Zakaria
Nash Cup 2024,Men's,18 Sep 2024 • 16:30,Round 2,Ryunosuke Tsukue,Sanjay Jeeva,"1-3, 11-8, 10-12, 7-11, 4-11, ---",Sanjay Jeeva
Nash Cup 2024,Men's,18 Sep 2024 • 17:15,Round 2,Salah Eltorgman,David Baillargeon,"0-3, 9-11, 7-11, 7-11, ---, ---",David Baillargeon
Nash Cup 2024,Men's,18 Sep 2024 • 18:30,Round 2,Henry Leung,Kareem El Torkey,"3-2, 6-11, 11-6, 12-14, 12-10, 11-7",Henry Leung
Nash Cup 2024,Men's,18 Sep 2024 • 19:15,Round 2,Joseph White,Shahjahan Khan,"3-0, 11-6, 12-10, 11-9, ---, ---",Joseph White
Nash Cup 2024,Men's,18 Sep 2024 • 20:00,Round 2,Cesar Salazar,Finnlay Withington,"3-1, 11-7, 11-5, 5-11, 11-9, ---",Cesar Salazar
Nash Cup 2024,Men's,18 Sep 2024 • 20:45,Round 2,Moustafa Elsirty,Curtis Malik,"2-3, 11-6, 4-11, 12-14, 12-10, 10-12",Curtis Malik
Nash Cup 2024,Men's,-,Round 1,Yahya Elnawasany,BYE,"---, ---, ---, ---, ---, ---",BYE
Nash Cup 2024,Men's,17 Sep 2024 • 15:00,Round 1,Brett Schille,Tom Walsh,"0-3, 3-11, 6-11, 6-11, ---, ---",Tom Walsh
Nash Cup 2024,Men's,17 Sep 2024 • 15:45,Round 1,Jeremias Azaña,Perry Malik,"3-2, 3-11, 9-11, 11-5, 13-11, 14-12",Jeremias Azaña
Nash Cup 2024,Men's,-,Round 1,BYE,Mohamad Zakaria,"---, ---, ---, ---, ---, ---",Mohamad Zakaria
Nash Cup 2024,Men's,-,Round 1,Ryunosuke Tsukue,BYE,"---, ---, ---, ---, ---, ---",BYE
Nash Cup 2024,Men's,17 Sep 2024 • 16:30,Round 1,Matthew Lai,Sanjay Jeeva,"2-3, 7-11, 11-5, 11-8, 1-11, 10-12",Sanjay Jeeva
Nash Cup 2024,Men's,17 Sep 2024 • 17:15,Round 1,Ben Smith,Salah Eltorgman,"2-3, 9-11, 12-10, 10-12, 11-4, 9-11",Salah Eltorgman
Nash Cup 2024,Men's,-,Round 1,BYE,David Baillargeon,"---, ---, ---, ---, ---, ---",David Baillargeon
Nash Cup 2024,Men's,-,Round 1,Henry Leung,BYE,"---, ---, ---, ---, ---, ---",BYE
Nash Cup 2024,Men's,17 Sep 2024 • 18:30,Round 1,Yannik Omlor,Kareem El Torkey,"2-3, 7-11, 11-5, 11-9, 1-11, 4-11",Kareem El Torkey
Nash Cup 2024,Men's,17 Sep 2024 • 19:15,Round 1,Joseph White,Taylor Carrick,"3-0, 11-7, 11-9, 11-7, ---, ---",Joseph White
Nash Cup 2024,Men's,-,Round 1,BYE,Shahjahan Khan,"---, ---, ---, ---, ---, ---",Shahjahan Khan
Nash Cup 2024,Men's,-,Round 1,Cesar Salazar,BYE,"---, ---, ---, ---, ---, ---",BYE
Nash Cup 2024,Men's,17 Sep 2024 • 20:00,Round 1,Diego Gobbi,Finnlay Withington,"1-3, 11-13, 5-11, 11-7, 4-11, ---",Finnlay Withington
Nash Cup 2024,Men's,17 Sep 2024 • 20:45,Round 1,Moustafa Elsirty,Lwamba Chileshe,"3-2, 10-12, 8-11, 12-10, 11-4, 11-7",Moustafa Elsirty
Nash Cup 2024,Men's,-,Round 1,BYE,Curtis Malik,"---, ---, ---, ---, ---, ---",Curtis Malik
Nash Cup 2024,Women's,21 Sep 2024 • 18:00,Final,Katie Malliff,Torrie Malik,"3-2, 9-11, 11-4, 12-14, 11-3, 11-8",Katie Malliff
Nash Cup 2024,Women's,20 Sep 2024 • 17:00,Semi final,Katie Malliff,Grace Gear,"3-0, 11-6, 11-4, 11-6, ---, ---",Katie Malliff
Nash Cup 2024,Women's,20 Sep 2024 • 19:00,Semi final,Torrie Malik,Georgia Adderley,"3-2, 13-15, 5-11, 12-10, 11-9, 11-6",Torrie Malik
Nash Cup 2024,Women's,19 Sep 2024 • 16:00,Quarter final,Katie Malliff,Marina Stefanoni,"3-2, 8-11, 11-6, 11-9, 3-11, 11-7",Katie Malliff
Nash Cup 2024,Women's,19 Sep 2024 • 18:00,Quarter final,Marta Dominguez,Grace Gear,"1-3, 11-7, 4-11, 8-11, 5-11, ---",Grace Gear
Nash Cup 2024,Women's,19 Sep 2024 • 19:00,Quarter final,Caroline Fouts,Torrie Malik,"1-3, 7-11, 11-13, 16-14, 3-11, ---",Torrie Malik
Nash Cup 2024,Women's,19 Sep 2024 • 20:00,Quarter final,Saran Nghiem,Georgia Adderley,"0-3, 7-11, 8-11, 9-11, ---, ---",Georgia Adderley
Nash Cup 2024,Women's,18 Sep 2024 • 15:00,Round 2,Katie Malliff,Alex Haydon,"3-0, 11-3, 11-2, 11-5, ---, ---",Katie Malliff
Nash Cup 2024,Women's,18 Sep 2024 • 15:45,Round 2,Catalina Pelaez,Marina Stefanoni,"1-3, 13-11, 3-11, 3-11, 7-11, ---",Marina Stefanoni
